,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,Q14_R_2wjiSHblELDyZMY_0_0,R_2wjiSHblELDyZMY,0,0,een,een,DET
1,Q14_R_2wjiSHblELDyZMY_0_1,R_2wjiSHblELDyZMY,0,1,canon,canon,NOUN
2,Q14_R_2wjiSHblELDyZMY_0_2,R_2wjiSHblELDyZMY,0,2,reflecteert,reflecteren,VERB
3,Q14_R_2wjiSHblELDyZMY_0_3,R_2wjiSHblELDyZMY,0,3,een,een,DET
4,Q14_R_2wjiSHblELDyZMY_0_4,R_2wjiSHblELDyZMY,0,4,tijdsbeeld,tijdsbeeld,NOUN
5,Q14_R_2wjiSHblELDyZMY_0_5,R_2wjiSHblELDyZMY,0,5,de,de,DET
6,Q14_R_2wjiSHblELDyZMY_0_6,R_2wjiSHblELDyZMY,0,6,helft,helft,NOUN
7,Q14_R_2wjiSHblELDyZMY_0_7,R_2wjiSHblELDyZMY,0,7,van,van,ADP
8,Q14_R_2wjiSHblELDyZMY_0_8,R_2wjiSHblELDyZMY,0,8,de,de,DET
9,Q14_R_2wjiSHblELDyZMY_0_9,R_2wjiSHblELDyZMY,0,9,auteurs,auteur,NOUN
10,Q14_R_2wjiSHblELDyZMY_0_10,R_2wjiSHblELDyZMY,0,10,is,zijn,AUX
11,Q14_R_2wjiSHblELDyZMY_0_11,R_2wjiSHblELDyZMY,0,11,eeuwenlang,eeuwenlang,ADJ
12,Q14_R_2wjiSHblELDyZMY_0_12,R_2wjiSHblELDyZMY,0,12,vergeten,vergeten,VERB
13,Q14_R_2b0CIkQZZJq6ey6_0_0,R_2b0CIkQZZJq6ey6,0,0,Ze,ze,PRON
14,Q14_R_2b0CIkQZZJq6ey6_0_1,R_2b0CIkQZZJq6ey6,0,1,kan,kunnen,AUX
15,Q14_R_2b0CIkQZZJq6ey6_0_2,R_2b0CIkQZZJq6ey6,0,2,daar,daar,ADV
16,Q14_R_2b0CIkQZZJq6ey6_0_3,R_2b0CIkQZZJq6ey6,0,3,naar,naar,ADP
17,Q14_R_2b0CIkQZZJq6ey6_0_4,R_2b0CIkQZZJq6ey6,0,4,streven,streven,VERB
18,Q14_R_2b0CIkQZZJq6ey6_0_5,R_2b0CIkQZZJq6ey6,0,5,",",",",PUNCT
19,Q14_R_2b0CIkQZZJq6ey6_0_6,R_2b0CIkQZZJq6ey6,0,6,maar,maar,CCONJ
20,Q14_R_2b0CIkQZZJq6ey6_0_7,R_2b0CIkQZZJq6ey6,0,7,moet,moeten,AUX
21,Q14_R_2b0CIkQZZJq6ey6_0_8,R_2b0CIkQZZJq6ey6,0,8,ook,ook,ADV
22,Q14_R_2b0CIkQZZJq6ey6_0_9,R_2b0CIkQZZJq6ey6,0,9,de,de,DET
23,Q14_R_2b0CIkQZZJq6ey6_0_10,R_2b0CIkQZZJq6ey6,0,10,historische,historisch,ADJ
24,Q14_R_2b0CIkQZZJq6ey6_0_11,R_2b0CIkQZZJq6ey6,0,11,werkelijkheid,werkelijkheid,NOUN
25,Q14_R_2b0CIkQZZJq6ey6_0_12,R_2b0CIkQZZJq6ey6,0,12,weergeven,weergeven,VERB
